tactic,surface,technique_count,avg_final_score,max_final_score,critical_count,medium_high_count,top_attack_vectors
Reconnaissance,Cloud Control Plane,5,0.5,1.25,0,0,T1589.002 Email Addresses; T1595.003 Wordlist Scanning; T1593.003 Code Repositories; T1590.001 Domain Properties; T1590.002 DNS
Reconnaissance,Data / Storage,24,0.42,1.25,0,0,T1595.002 Vulnerability Scanning; T1594 Search Victim-Owned Websites; T1592.002 Software; T1595.001 Scanning IP Blocks; T1592.004 Client Configurations
Execution,ICS / OT,13,0.29,3.75,0,0,T1574.013 KernelCallbackTable; T0863 User Execution; T0853 Scripting; T0807 Command-Line Interface; T0858 Change Operating Mode
Resource Development,SaaS / Office / Email,5,0.25,1.25,0,0,T1608.005 Link Target; T1584.005 Botnet; T1588.007 Artificial Intelligence; T1586.003 Cloud Accounts; T1585.003 Cloud Accounts
Defense Evasion,Mobile,35,0,0,0,0,T1406 Obfuscated Files or Information; T1655.001 Match Legitimate Name or Location; T1407 Download New Code at Runtime; T1628.001 Suppress Application Icon; T1630.002 File Deletion
Collection,Mobile,25,0,0,0,0,T1636.004 SMS Messages; T1430 Location Tracking; T1636.003 Contact List; T1533 Data from Local System; T1429 Audio Capture
Inhibit Response Function,ICS / OT,21,0,0,0,0,T0881 Service Stop; T0814 Denial of Service; T0809 Data Destruction; T0835 Manipulate I/O Image; T1695.003 Wi-Fi
Command and Control,Mobile,18,0,0,0,0,T1437.001 Web Protocols; T1644 Out of Band Data; T1616 Call Control; T1544 Ingress Tool Transfer; T1509 Non-Standard Port
Initial Access,Mobile,15,0,0,0,0,T1660 Phishing; T1474.003 Compromise Software Supply Chain; T1456 Drive-By Compromise; T1461 Lockscreen Bypass; T1664 Exploitation for Initial Access
Initial Access,ICS / OT,14,0,0,0,0,T0865 Spearphishing Attachment; T0817 Drive-by Compromise; T0866 Exploitation of Remote Services; T0886 Remote Services; T0862 Supply Chain Compromise
Collection,ICS / OT,14,0,0,0,0,T0801 Monitor Process State; T0893 Data from Local System; T0802 Automated Collection; T0861 Point & Tag Identification; T0852 Screen Capture
Discovery,Mobile,13,0,0,0,0,T1430 Location Tracking; T1426 System Information Discovery; T1418 Software Discovery; T1422 System Network Configuration Discovery; T1422.001 Internet Connection Discovery
Credential Access,Mobile,12,0,0,0,0,T1417.002 GUI Input Capture; T1417.001 Keylogging; T1517 Access Notifications; T1453 Abuse Accessibility Features; T1414 Clipboard Data
Persistence,Mobile,12,0,0,0,0,T1624.001 Broadcast Receivers; T1645 Compromise Client Software Binary; T1541 Foreground Persistence; T1603 Scheduled Task/Job; T1398 Boot or Logon Initialization Scripts
Discovery,ICS / OT,12,0,0,0,0,T0888 Remote System Information Discovery; T0846.001 Port Scan; T0846 Remote System Discovery; T0842 Network Sniffing; T0840 Network Connection Enumeration
Lateral Movement,ICS / OT,12,0,0,0,0,T0867 Lateral Tool Transfer; T0866 Exploitation of Remote Services; T0859 Valid Accounts; T0843 Program Download; T0886 Remote Services
Impact,Mobile,11,0,0,0,0,T1582 SMS Control; T1616 Call Control; T1643 Generate Traffic from Victim; T1516 Input Injection; T1642 Endpoint Denial of Service
Impair Process Control,ICS / OT,10,0,0,0,0,T0836 Modify Parameter; T1692.001 Command Message; T0806 Brute Force I/O; T1693.001 System Firmware; T1693.002 Module Firmware
Defense Evasion,Identity / IAM,9,0,0,0,0,T1516 Input Injection; T1541 Foreground Persistence; T1631.001 Ptrace System Calls; T1670 Virtualization Solution; T1631 Process Injection
Evasion,ICS / OT,9,0,0,0,0,T0849 Masquerading; T1692.001 Command Message; T0858 Change Operating Mode; T0872 Indicator Removal on Host; T0851 Rootkit
Defense Evasion,Endpoint / User,8,0,0,0,0,T1407 Download New Code at Runtime; T1628.001 Suppress Application Icon; T1633.001 System Checks; T1630.001 Uninstall Malicious Application; T1629.002 Device Lockout
Privilege Escalation,Mobile,6,0,0,0,0,T1404 Exploitation for Privilege Escalation; T1626.001 Device Administrator Permissions; T1631.001 Ptrace System Calls; T1631 Process Injection; T1626 Abuse Elevation Control Mechanism
Defense Evasion,Data / Storage,5,0,0,0,0,T1406 Obfuscated Files or Information; T1630.002 File Deletion; T1516 Input Injection; T1628.003 Conceal Multimedia Files; T1406.001 Steganography
Execution,Mobile,5,0,0,0,0,T1575 Native API; T1623.001 Unix Shell; T1603 Scheduled Task/Job; T1658 Exploitation for Client Execution; T1623 Command and Scripting Interpreter
Inhibit Response Function,Identity / IAM,5,0,0,0,0,T1693.001 System Firmware; T1693.002 Module Firmware; T1693 Modify Firmware; T0892 Change Credential; T0833 Modify Control Logic
Impair Process Control,Identity / IAM,4,0,0,0,0,T1693.001 System Firmware; T1693.002 Module Firmware; T1693 Modify Firmware; T0833 Modify Control Logic
Exfiltration,Mobile,3,0,0,0,0,T1646 Exfiltration Over C2 Channel; T1639.001 Exfiltration Over Unencrypted Non-C2 Protocol; T1436 Commonly Used Port
Defense Evasion,ESXi / Hypervisor,3,0,0,0,0,T1633.001 System Checks; T1670 Virtualization Solution; T1633 Virtualization/Sandbox Evasion
Lateral Movement,Mobile,3,0,0,0,0,T1458 Replication Through Removable Media; T1428 Exploitation of Remote Services; T1427 Attack PC via USB Connection
Inhibit Response Function,Network / Perimeter,3,0,0,0,0,T1695.003 Wi-Fi; T1695.002 Ethernet; T0816 Device Restart/Shutdown
Privilege Escalation,ICS / OT,2,0,0,0,0,T0890 Exploitation for Privilege Escalation; T0874 Hooking
Defense Evasion,Public Internet / Edge,2,0,0,0,0,T1661 Application Versioning; T1444 Masquerade as Legitimate Application
Remote Service Effects,ICS / OT,2,0,0,0,0,T1470 Obtain Device Cloud Backups; T1469 Remotely Wipe Data Without Authorization
Remote Service Effects,Cloud Control Plane,2,0,0,0,0,T1470 Obtain Device Cloud Backups; T1469 Remotely Wipe Data Without Authorization
Remote Service Effects,Mobile,2,0,0,0,0,T1470 Obtain Device Cloud Backups; T1469 Remotely Wipe Data Without Authorization
Defense Evasion,Network / Perimeter,1,0,0,0,0,T1406 Obfuscated Files or Information
Defense Evasion,Server / Workload,1,0,0,0,0,T1541 Foreground Persistence
Inhibit Response Function,Data / Storage,1,0,0,0,0,T0809 Data Destruction
Inhibit Response Function,Server / Workload,1,0,0,0,0,T1693 Modify Firmware
Impair Process Control,Server / Workload,1,0,0,0,0,T1693 Modify Firmware
Network Effects,ICS / OT,1,0,0,0,0,T1449 Exploit SS7 to Redirect Phone Calls/SMS
Network Effects,Identity / IAM,1,0,0,0,0,T1449 Exploit SS7 to Redirect Phone Calls/SMS
Network Effects,Mobile,1,0,0,0,0,T1449 Exploit SS7 to Redirect Phone Calls/SMS
